Time,Capital,Dividends
0,1.0,0.6375018727890686
1,1.3490063813553441,0.7861243846426429
2,1.663503836910066,0.9103284794785609
3,1.9263299142533026,1.0087718001072157
4,2.1346440751966465,1.0839501144145658
5,2.2937275698010757,1.1398842401383498
6,2.4120887790110177,1.1807467715323858
7,2.4985572553587354,1.2102190338741807
8,2.5609229858280718,1.2312862444039845
9,2.605502935558612,1.246251120243989
10,2.63716984332162,1.2568346214844541
11,2.6595654021738744,1.2642965044447059
12,2.6753553600704167,1.2695461663079428
13,2.686464076225996,1.273233893956811
14,2.694267611154073,1.2758216750810771
15,2.6997435687930884,1.2776362506524608
16,2.7035833599054477,1.2789079889306103
17,2.706274462670577,1.2797989588415501
18,2.7081598282620454,1.2804230070742613
19,2.709480365634772,1.2808600218837516
20,2.710405124905156,1.2811660209948
21,2.7110526441848837,1.2813802638681264
22,2.711505999720943,1.281530255196012
23,2.7118233937037726,1.2816352595719198
24,2.712045591597169,1.2817087677542227
25,2.7122011409551257,1.2817602259903769
26,2.7123100308139767,1.2817962479849216
27,2.712386256316339,1.2818214639834469
28,2.712439615442601,1.2818391154775695
29,2.712476967455557,1.2818514716680827
30,2.7125031141706697,1.2818601210723104
31,2.7125214170212124,1.2818661756899958
32,2.7125342290900747,1.281870413939391
33,2.712543197574284,1.2818733807223053
34,2.7125494755308748,1.281875457474431
35,2.7125538701091334,1.2818769112029211
36,2.712556946318151,1.2818779288138447
37,2.7125590996665387,1.2818786411419723
38,2.7125606070114276,1.2818791397718967
39,2.7125616621533477,1.2818794888129594
